gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,source_game_id,collection_timestamp
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1631197.0,Jared,Rhoden,J. Rhoden,jared-rhoden,G,,,36:13,0.722,0.278,0.609,0.348,0.391,0.217,0.0,0.0,0.261,0.571,0.429,0.333,0.667,0.5,0.5,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1630285.0,Zavier,Simpson,Z. Simpson,zavier-simpson,G,,,35:36,0.889,0.111,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1642045.0,Devon,Higgs,D. Higgs,devon-higgs,,,,25:10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1631205.0,Buddy,Boeheim,B. Boeheim,buddy-boeheim,,,,27:58,0.273,0.727,0.222,0.0,0.667,0.0,0.056,0.278,0.222,0.5,0.5,1.0,0.0,0.833,0.167,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1628532.0,ShawnDre,Jones,S. Jones,shawndre-jones,,,,12:24,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1642071.0,Sam,Peek,S. Peek,sam-peek,,,,2:26,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1631208.0,Ryan,Turell,R. Turell,ryan-turell,,,,2:26,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1631384.0,Jayce,Johnson,J. Johnson,jayce-johnson,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709928,Capital City,Go-Go,CCG,go-go,1628977.0,Hamidou,Diallo,H. Diallo,hamidou-diallo,F,,,31:11,0.933,0.067,0.7,0.1,0.15,0.2,0.1,0.2,0.6,0.143,0.857,1.0,0.0,0.25,0.75,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709928,Capital City,Go-Go,CCG,go-go,1641917.0,Taylor,Funk,T. Funk,taylor-funk,F,,,27:11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709928,Capital City,Go-Go,CCG,go-go,1641868.0,Jake,Stephens,J. Stephens,jake-stephens,C,,,33:51,0.545,0.455,0.5,0.125,0.375,0.0,0.063,0.188,0.375,1.0,0.0,1.0,0.0,1.0,0.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709928,Capital City,Go-Go,CCG,go-go,1629653.0,Devon,Dotson,D. Dotson,devon-dotson,G,,,35:31,0.571,0.429,0.667,0.267,0.2,0.0,0.067,0.0,0.4,0.4,0.6,1.0,0.0,0.5,0.5,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709928,Capital City,Go-Go,CCG,go-go,1631262.0,Jules,Bernard,J. Bernard,jules-bernard,G,,,28:04,0.333,0.667,0.286,0.0,0.429,0.0,0.143,0.286,0.286,1.0,0.0,1.0,0.0,1.0,0.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709928,Capital City,Go-Go,CCG,go-go,1630181.0,R.J.,Hampton,R. Hampton,rj-hampton,,,,34:46,0.615,0.385,0.333,0.2,0.4,0.067,0.1,0.233,0.133,0.4,0.6,0.5,0.5,0.444,0.556,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709928,Capital City,Go-Go,CCG,go-go,1631293.0,Davion,Mintz,D. Mintz,davion-mintz,,,,15:54,0.6,0.4,0.571,0.0,0.429,0.0,0.0,0.429,0.571,0.0,1.0,1.0,0.0,0.333,0.667,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709928,Capital City,Go-Go,CCG,go-go,1631219.0,John,Butler Jr.,J. Butler Jr.,john-butler-jr,,,,17:01,0.714,0.286,0.364,0.182,0.273,0.0,0.182,0.182,0.182,1.0,0.0,1.0,0.0,1.0,0.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709928,Capital City,Go-Go,CCG,go-go,1628539.0,Mychal,Mulder,M. Mulder,mychal-mulder,,,,16:31,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709928,Capital City,Go-Go,CCG,go-go,1641914.0,Chase,Audige,C. Audige,chase-audige,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709928,Capital City,Go-Go,CCG,go-go,1630701.0,Michael,Foster Jr.,M. Foster Jr.,michael-foster-jr,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709928,Capital City,Go-Go,CCG,go-go,,,,,,,,,240:00,0.571,0.429,0.452,0.139,0.365,0.052,0.087,0.183,0.313,0.462,0.538,0.857,0.143,0.6,0.4,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709932,Motor City,Cruise,MCC,cruise,,,,,,,,,240:00,0.633,0.367,0.505,0.141,0.364,0.051,0.071,0.162,0.364,0.52,0.48,0.833,0.167,0.622,0.378,2022300370,2025-08-10T09:36:18.336153
