GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT,game_id,game_date,endpoint,dataframe_index,collection_timestamp,TEAM_NAME
0022401199,1610612757,POR,Portland,1641739.0,Toumani Camara,F,,21:37,4.33,1.8,5,6,10,41,0,0,32,4,1,1,1.0,4,6,0.667,0.713,1,2,0.5,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,1642270.0,Donovan Clingan,C,,24:40,4.08,1.78,15,11,24,29,1,1,17,3,5,9,0.556,1,1,1.0,0.599,0,4,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,1629680.0,Matisse Thybulle,G,,29:09,4.11,1.99,5,6,11,51,1,0,35,2,2,5,0.4,3,6,0.5,0.455,1,1,1.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,1630625.0,Dalano Banton,G,,36:17,4.01,2.59,1,6,7,96,0,0,69,7,3,9,0.333,5,13,0.385,0.363,1,2,0.5,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,1641712.0,Rayan Rupert,,,27:37,4.37,2.18,3,9,12,57,0,0,42,1,3,4,0.75,2,6,0.333,0.5,1,1,1.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,1631321.0,Sidy Cissoko,,,29:01,3.86,2.01,3,2,5,59,2,0,49,4,1,2,0.5,2,5,0.4,0.428,2,3,0.667,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,1631303.0,Justin Minaya,,,18:29,4.6,1.53,4,1,5,26,0,0,17,2,1,2,0.5,1,3,0.333,0.4,6,6,1.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,1631133.0,Jabari Walker,,,23:20,3.92,1.65,4,8,12,27,0,0,15,1,2,5,0.4,2,4,0.5,0.444,1,2,0.5,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,1630166.0,Deni Avdija,,DND - Injury/Illness,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,203924.0,Jerami Grant,,DND - Injury/Illness,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,1630703.0,Scoot Henderson,,DND - Concussion Protocol,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,1641871.0,Duop Reath,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
