gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn,game_id,game_date,endpoint,dataframe_index,collection_timestamp
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1630692.0,Jordan,Goodwin,J. Goodwin,jordan-goodwin,,,30,30:13,0,0,0,4,9,25,7,34,0,0,0,1,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1631132.0,Christian,Koloko,C. Koloko,christian-koloko,,,10,19:29,0,0,0,4,6,8,7,14,5,0,3,2,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1641998.0,Trey,Jemison III,T. Jemison III,trey-jemison-iii,,,55,25:15,0,1,0,2,12,16,13,24,1,1,4,2,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629637.0,Jaxson,Hayes,J. Hayes,jaxson-hayes,,DNP - Coach's Decision,11,,0,0,0,0,0,0,0,0,0,0,0,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629020.0,Jarred,Vanderbilt,J. Vanderbilt,jarred-vanderbilt,,DNP - Coach's Decision,2,,0,0,0,0,0,0,0,0,0,0,0,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629216.0,Gabe,Vincent,G. Vincent,gabe-vincent,,DNP - Coach's Decision,7,,0,0,0,0,0,0,0,0,0,0,0,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631200.0,Kris,Murray,K. Murray,kris-murray,F,,24,29:50,2,2,5,6,11,8,8,14,1,2,0,1,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641739.0,Toumani,Camara,T. Camara,toumani-camara,F,,33,21:37,0,5,0,2,6,5,6,8,0,0,3,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1642270.0,Donovan,Clingan,D. Clingan,donovan-clingan,C,,23,24:40,2,8,2,12,6,5,8,10,2,2,3,6,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1629680.0,Matisse,Thybulle,M. Thybulle,matisse-thybulle,G,,4,29:09,4,7,2,4,7,6,7,22,1,1,2,5,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1630625.0,Dalano,Banton,D. Banton,dalano-banton,G,,5,36:17,13,6,6,8,8,5,12,22,0,2,2,3,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641712.0,Rayan,Rupert,R. Rupert,rayan-rupert,,,21,27:37,0,0,4,4,12,5,9,22,1,0,5,3,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631321.0,Sidy,Cissoko,S. Cissoko,sidy-cissoko,,,25,29:01,0,2,0,6,9,3,8,28,1,2,0,2,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631303.0,Justin,Minaya,J. Minaya,justin-minaya,,,10,18:29,0,2,0,2,7,0,6,20,0,0,1,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631133.0,Jabari,Walker,J. Walker,jabari-walker,,,34,23:20,0,2,0,8,9,3,6,24,0,2,0,1,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1630166.0,Deni,Avdija,D. Avdija,deni-avdija,,DND - Injury/Illness,8,,0,0,0,0,0,0,0,0,0,0,0,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,203924.0,Jerami,Grant,J. Grant,jerami-grant,,DND - Injury/Illness,9,,0,0,0,0,0,0,0,0,0,0,0,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1630703.0,Scoot,Henderson,S. Henderson,scoot-henderson,,DND - Concussion Protocol,00,,0,0,0,0,0,0,0,0,0,0,0,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641871.0,Duop,Reath,D. Reath,duop-reath,,DNP - Coach's Decision,26,,0,0,0,0,0,0,0,0,0,0,0,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631101.0,Shaedon,Sharpe,S. Sharpe,shaedon-sharpe,,DND - Injury/Illness,17,,0,0,0,0,0,0,0,0,0,0,0,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1629014.0,Anfernee,Simons,A. Simons,anfernee-simons,,DND - Injury/Illness,1,,0,0,0,0,0,0,0,0,0,0,0,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,,,,,,,,,240:00,21,34,19,52,15,8,14,34,6,11,16,21,0022401199,2025-04-13,BoxScoreMiscV3,1,2025-08-10T12:32:25.125534
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,,,,,,,,,240:00,15,8,14,34,21,34,19,52,11,6,21,16,0022401199,2025-04-13,BoxScoreMiscV3,1,2025-08-10T12:32:25.125534
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1642419.0,Jamison,Battle,J. Battle,jamison-battle,F,,77,42:21,3,3,0,2,13,9,18,52,0,0,5,0,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
