GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
Last 10 SEC | +/- 3 PTS,2024-25,11,5,6,0.455,7.545,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,2,0,0,0,3,1,0,-12,-2.0,0,0,0.0,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1630639,PlayerDashboardByClutch,10,2025-08-10T12:55:24.149613
Overall,2024-25,73,44,29,0.603,1659.1416666666667,182,424,0.429,155,363,0.427,22,27,0.815,18,156,174,108,40,37,7,3,157,50,541,227,1003.8,0,0,1066.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByClutch,0,2025-08-10T12:55:28.524302
Last 5 MIN <= 5 PTS,2024-25,21,9,12,0.429,43.65,4,8,0.5,4,8,0.5,2,3,0.667,0,2,2,4,0,1,0,0,5,2,14,-5,25.4,0,0,26.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByClutch,1,2025-08-10T12:55:28.524302
Last 3 MIN <= 5 PTS,2024-25,16,4,12,0.25,25.683333333333334,3,5,0.6,3,5,0.6,2,3,0.667,0,1,1,2,0,1,0,0,5,2,11,-5,18.2,0,0,19.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByClutch,2,2025-08-10T12:55:28.524302
Last 1 MIN <= 5 PTS,2024-25,12,2,10,0.167,8.75,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,2,0,0,0,0,3,0,3,-10,7.2,0,0,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByClutch,3,2025-08-10T12:55:28.524302
Last 30 SEC <= 3 PTS,2024-25,9,2,7,0.222,3.151666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-5,0.0,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByClutch,4,2025-08-10T12:55:28.524302
Last 10 SEC <= 3 PTS,2024-25,7,2,5,0.286,1.0916666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByClutch,5,2025-08-10T12:55:28.524302
Last 5 MIN | +/- 5 PTS,2024-25,25,13,12,0.52,72.69,6,11,0.545,6,11,0.545,2,3,0.667,0,4,4,4,0,1,0,0,8,2,20,-15,33.8,0,0,36.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByClutch,6,2025-08-10T12:55:28.524302
Last 3 MIN | +/- 5 PTS,2024-25,21,9,12,0.429,39.70666666666666,4,7,0.571,4,7,0.571,2,3,0.667,0,3,3,2,0,1,0,0,6,2,14,16,23.6,0,0,25.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByClutch,7,2025-08-10T12:55:28.524302
Last 1 MIN | +/- 5 PTS,2024-25,18,8,10,0.444,14.023333333333333,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,2,0,0,0,0,3,0,3,4,8.4,0,0,8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByClutch,8,2025-08-10T12:55:28.524302
