GAME_ID,HUSTLE_STATUS,game_id,game_date,endpoint,dataframe_index,collection_timestamp,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MINUTES,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,TEAM_NAME
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612747.0,LAL,Los Angeles,1642261.0,Dalton Knecht,F,,37:22,27.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612747.0,LAL,Los Angeles,202693.0,Markieff Morris,F,,32:48,11.0,4.0,1.0,3.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612747.0,LAL,Los Angeles,203458.0,Alex Len,C,,13:33,4.0,5.0,5.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612747.0,LAL,Los Angeles,1629003.0,Shake Milton,G,,43:02,16.0,5.0,2.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612747.0,LAL,Los Angeles,1642355.0,Bronny James,G,,38:18,4.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612747.0,LAL,Los Angeles,1630692.0,Jordan Goodwin,,,30:13,12.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612747.0,LAL,Los Angeles,1631132.0,Christian Koloko,,,19:29,4.0,10.0,6.0,4.0,1.0,0.0,2.0,5.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612747.0,LAL,Los Angeles,1641998.0,Trey Jemison III,,,25:15,3.0,5.0,4.0,1.0,2.0,0.0,2.0,5.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612757.0,POR,Portland,1631200.0,Kris Murray,F,,29:50,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,1.0,2.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612757.0,POR,Portland,1641739.0,Toumani Camara,F,,21:37,14.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612757.0,POR,Portland,1642270.0,Donovan Clingan,C,,24:40,12.0,9.0,6.0,3.0,1.0,0.0,3.0,8.0,1.0,0.0,1.0,0.0,4.0,4.0,3.0,4.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612757.0,POR,Portland,1629680.0,Matisse Thybulle,G,,29:09,15.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612757.0,POR,Portland,1630625.0,Dalano Banton,G,,36:17,23.0,7.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612757.0,POR,Portland,1641712.0,Rayan Rupert,,,27:37,13.0,4.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612757.0,POR,Portland,1631321.0,Sidy Cissoko,,,29:01,7.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612757.0,POR,Portland,1631303.0,Justin Minaya,,,18:29,5.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:29.836880,1610612757.0,POR,Portland,1631133.0,Jabari Walker,,,23:20,10.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,2,2025-08-10T12:45:29.836880,1610612747.0,LAL,Los Angeles,,,,,240.0:00,81.0,36.0,20.0,16.0,21.0,0.0,8.0,20.0,2.0,7.0,9.0,2.0,4.0,5.0,4.0,6.0,Lakers
0022401199,,0022401199,2025-04-13,HustleStatsBoxScore,2,2025-08-10T12:45:29.836880,1610612757.0,POR,Portland,,,,,240.0:00,109.0,34.0,22.0,12.0,16.0,1.0,5.0,13.0,4.0,1.0,5.0,0.0,6.0,6.0,4.0,6.0,Trail Blazers
0022401197,1.0,0022401197,2025-04-13,HustleStatsBoxScore,0,2025-08-10T12:45:47.134522,,,,,,,,,,,,,,,,,,,,,,,,,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612761.0,TOR,Toronto,1642419.0,Jamison Battle,F,,42:21,25.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612761.0,TOR,Toronto,1630567.0,Scottie Barnes,F,,36:34,35.0,4.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612761.0,TOR,Toronto,1642367.0,Jonathan Mogbo,C,,34:55,9.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612761.0,TOR,Toronto,1630534.0,Ochai Agbaji,G,,37:31,14.0,7.0,3.0,4.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612761.0,TOR,Toronto,1642347.0,Jamal Shead,G,,36:13,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612761.0,TOR,Toronto,1630658.0,Colin Castleton,,,29:16,10.0,12.0,7.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612761.0,TOR,Toronto,1630639.0,A.J. Lawson,,,21:18,14.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612759.0,SAS,San Antonio,1630577.0,Julian Champagnie,F,,34:45,14.0,9.0,5.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612759.0,SAS,San Antonio,203084.0,Harrison Barnes,F,,34:12,18.0,10.0,10.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612759.0,SAS,San Antonio,202687.0,Bismack Biyombo,C,,14:03,2.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612759.0,SAS,San Antonio,1642264.0,Stephon Castle,G,,37:16,20.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612759.0,SAS,San Antonio,101108.0,Chris Paul,G,,33:51,15.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
0022401197,,0022401197,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:47.134522,1610612759.0,SAS,San Antonio,1630572.0,Sandro Mamukelashvili,,,18:58,12.0,9.0,7.0,2.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
