gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id,game_date,endpoint,dataframe_index,collection_timestamp,startersBench
0022401191,1610612741,Chicago,Bulls,CHI,bulls,,,,,,,,,92:11,30,65,0.462,6,25,0.24,12,16,0.75,7,28,35,20,6,1,5,11,78,,0022401191,2025-04-13,BoxScoreTraditionalV3,1,2025-08-10T12:39:07.440238,Bench
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,,,,,,,,,240:00,36,94,0.383,12,44,0.273,18,21,0.857,10,38,48,20,7,6,14,15,102,-20.0,0022401191,2025-04-13,BoxScoreTraditionalV3,2,2025-08-10T12:39:07.440238,
0022401191,1610612741,Chicago,Bulls,CHI,bulls,,,,,,,,,240:00,47,103,0.456,13,40,0.325,15,20,0.75,15,44,59,29,10,4,12,17,122,20.0,0022401191,2025-04-13,BoxScoreTraditionalV3,2,2025-08-10T12:39:07.440238,
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1642261.0,Dalton,Knecht,D. Knecht,dalton-knecht,F,,,37:22,9,21,0.429,5,12,0.417,4,4,1.0,2,6,8,0,0,2,2,1,27,-28.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,202693.0,Markieff,Morris,M. Morris,markieff-morris,F,,,32:48,5,10,0.5,1,3,0.333,0,0,0.0,0,4,4,6,1,1,2,4,11,-17.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,203458.0,Alex,Len,A. Len,alex-len,C,,,13:33,2,4,0.5,0,1,0.0,0,0,0.0,0,2,2,1,0,1,3,6,4,-15.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629003.0,Shake,Milton,S. Milton,shake-milton,G,,,43:02,5,15,0.333,1,4,0.25,5,6,0.833,1,1,2,3,1,1,3,2,16,-25.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1642355.0,Bronny,James,B. James,bronny-james,G,,,38:18,2,10,0.2,0,2,0.0,0,0,0.0,1,2,3,6,4,0,3,1,4,-23.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1630692.0,Jordan,Goodwin,J. Goodwin,jordan-goodwin,,,,30:13,5,14,0.357,2,5,0.4,0,0,0.0,2,5,7,4,2,0,2,0,12,-18.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1631132.0,Christian,Koloko,C. Koloko,christian-koloko,,,,19:29,2,4,0.5,0,1,0.0,0,2,0.0,3,5,8,0,1,5,0,3,4,-1.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1641998.0,Trey,Jemison III,T. Jemison III,trey-jemison-iii,,,,25:15,1,2,0.5,0,0,0.0,1,2,0.5,4,4,8,1,0,1,5,4,3,-13.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629637.0,Jaxson,Hayes,J. Hayes,jaxson-hayes,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629020.0,Jarred,Vanderbilt,J. Vanderbilt,jarred-vanderbilt,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629216.0,Gabe,Vincent,G. Vincent,gabe-vincent,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631200.0,Kris,Murray,K. Murray,kris-murray,F,,,29:50,4,15,0.267,1,6,0.167,1,2,0.5,6,5,11,3,0,1,2,0,10,22.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
