GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
Location,Road,37,19,18,0.514,785.1983333333334,78,181,0.431,66,151,0.437,11,13,0.846,7,68,75,47,21,12,5,1,75,27,233,48,423.5,0,0,455.0,1,2,3,3,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,1,2,2,2,1,1,2,1,1631260,PlayerDashboardByGeneralSplits,1,2025-08-10T12:51:26.149839
Wins/Losses,Wins,44,44,0,1.0,1030.4483333333333,116,267,0.434,101,228,0.443,18,22,0.818,14,97,111,68,26,23,5,2,105,35,351,388,644.2,0,0,687.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByGeneralSplits,2,2025-08-10T12:51:26.149839
Wins/Losses,Losses,29,0,29,0.0,628.6933333333334,66,157,0.42,54,135,0.4,4,5,0.8,4,59,63,40,14,14,2,1,52,15,190,-161,359.6,0,0,379.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1631260,PlayerDashboardByGeneralSplits,2,2025-08-10T12:51:26.149839
Month,October,5,1,4,0.2,35.655,5,11,0.455,5,11,0.455,2,2,1.0,0,2,2,3,1,1,0,0,1,1,17,-2,25.9,0,0,29.0,7,7,3,7,7,7,7,3,7,7,3,6,7,1,7,7,7,7,7,6,5,1,1,7,7,6,7,1,1,7,1,1631260,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:26.149839
Month,November,13,9,4,0.692,325.98333333333335,44,89,0.494,39,81,0.481,3,4,0.75,4,30,34,13,8,9,1,0,32,7,130,47,212.3,0,0,236.0,2,1,3,2,2,1,1,2,1,1,2,4,3,5,1,1,1,4,3,1,3,1,7,5,1,3,1,1,1,1,1,1631260,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:26.149839
Month,December,12,7,5,0.583,287.48833333333334,29,73,0.397,24,62,0.387,3,3,1.0,2,30,32,24,10,5,3,1,28,8,85,25,173.4,0,0,181.0,3,2,5,4,4,4,4,6,3,4,5,4,5,1,5,1,2,2,2,4,1,6,4,3,4,5,4,1,1,4,1,1631260,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:26.149839
Month,January,9,6,3,0.667,195.37166666666667,23,56,0.411,20,47,0.426,4,5,0.8,4,19,23,8,2,5,0,0,24,6,70,61,122.6,0,0,131.0,5,6,2,3,5,5,5,4,5,5,4,1,2,4,1,6,6,6,6,4,5,1,3,6,5,2,5,1,1,5,1,1631260,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:26.149839
Month,February,12,7,5,0.583,313.44166666666666,32,82,0.39,24,64,0.375,4,4,1.0,3,24,27,19,5,8,2,2,28,11,92,-51,177.9,0,0,182.0,3,2,5,4,3,2,2,7,3,3,7,1,3,1,3,4,4,3,4,2,2,7,4,1,2,7,3,1,1,3,1,1631260,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:26.149839
Month,March,15,7,8,0.467,336.785,31,77,0.403,26,68,0.382,4,6,0.667,3,29,32,30,11,8,0,0,31,9,92,31,188.4,0,0,196.0,1,2,7,6,1,3,3,5,2,2,6,1,1,6,3,3,2,1,1,2,5,1,6,2,2,4,2,1,1,2,1,1631260,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:26.149839
Month,April,7,7,0,1.0,164.41666666666666,18,36,0.5,17,30,0.567,2,3,0.667,2,22,24,11,3,1,1,0,13,8,55,116,103.3,0,0,111.0,6,2,1,1,6,6,6,1,6,6,1,6,5,6,5,5,5,5,5,6,3,1,2,3,6,1,6,1,1,6,1,1631260,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:26.149839
Pre/Post All-Star,Pre All-Star,46,26,20,0.565,1008.0366666666666,119,276,0.431,99,232,0.427,16,18,0.889,11,94,105,57,24,24,5,2,98,32,353,71,627.5,0,0,672.0,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1631260,PlayerDashboardByGeneralSplits,4,2025-08-10T12:51:26.149839
Pre/Post All-Star,Post All-Star,27,18,9,0.667,651.105,63,148,0.426,56,131,0.427,6,9,0.667,7,62,69,51,16,13,2,1,59,18,188,156,376.3,0,0,394.0,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,1,1631260,PlayerDashboardByGeneralSplits,4,2025-08-10T12:51:26.149839
Starting Position,Starters,7,5,2,0.714,172.97166666666666,14,48,0.292,13,43,0.302,0,0,0.0,2,14,16,20,7,4,2,0,12,2,41,-43,101.2,0,0,102.0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1631260,PlayerDashboardByGeneralSplits,5,2025-08-10T12:51:26.149839
Starting Position,Bench,66,39,27,0.591,1486.17,168,376,0.447,142,320,0.444,22,27,0.815,16,142,158,88,33,33,5,3,145,48,500,270,902.6,0,0,964.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByGeneralSplits,5,2025-08-10T12:51:26.149839
Days Rest,0 Days Rest,15,8,7,0.533,346.7216666666667,33,87,0.379,29,73,0.397,2,3,0.667,3,41,44,21,9,3,2,0,34,10,97,-7,187.3,0,0,201.0,2,2,5,3,2,2,2,5,2,2,4,2,2,3,2,2,2,2,2,3,2,1,5,2,2,6,2,1,1,2,1,1631260,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:26.149839
Days Rest,1 Days Rest,40,26,14,0.65,932.6033333333334,100,236,0.424,82,198,0.414,18,22,0.818,11,83,94,62,19,24,4,1,82,33,300,170,570.8,0,0,594.0,1,1,6,2,1,1,1,4,1,1,3,1,1,2,1,1,1,1,1,1,1,4,6,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:26.149839
Days Rest,2 Days Rest,10,5,5,0.5,199.61166666666668,21,49,0.429,17,43,0.395,0,0,0.0,2,17,19,16,7,7,1,0,20,3,59,6,122.8,0,0,127.0,3,3,4,4,3,3,3,3,4,3,5,4,4,4,3,3,3,3,3,2,3,1,4,3,4,5,3,1,1,3,1,1631260,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:26.149839
Days Rest,3 Days Rest,4,2,2,0.5,108.91666666666667,21,36,0.583,20,34,0.588,2,2,1.0,0,10,10,6,4,1,0,1,14,3,64,21,84.0,0,0,102.0,4,4,3,4,4,3,4,2,3,4,2,2,3,1,6,4,4,4,4,4,4,4,3,3,3,3,4,1,1,4,1,1631260,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:26.149839
Days Rest,5 Days Rest,2,2,0,1.0,23.371666666666666,4,5,0.8,4,5,0.8,0,0,0.0,1,1,2,1,1,1,0,0,1,0,12,24,17.9,0,0,21.0,5,4,1,1,6,5,6,1,5,6,1,4,4,4,4,6,6,6,5,4,4,1,1,6,5,2,6,1,1,5,1,1631260,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:26.149839
