GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
By Year,2023-24,-1,TOT,2024-04-10T00:00:00,57,36,21,0.632,641.5316666666666,87,206,0.422,73,176,0.415,17,19,0.895,10,57,67,33,13,9,4,3,53,20,264,59,419.9,0,0,463.0,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1631260,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:36.363266
By Year,2023-24,1610612749,MIL,2024-04-10T00:00:00,56,35,21,0.625,614.2816666666666,83,196,0.423,69,169,0.408,17,19,0.895,9,55,64,30,12,9,4,3,49,20,252,50,400.8,0,0,441.0,2,2,6,3,2,2,2,4,2,2,5,2,2,4,3,2,2,2,2,2,2,6,6,2,2,2,2,1,1,2,1,1631260,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:36.363266
By Year,2023-24,1612709927,WIS,2024-01-18T00:00:00,1,1,0,1.0,27.25,4,10,0.4,4,7,0.571,0,0,0.0,1,2,3,3,1,0,0,0,4,0,12,9,19.1,0,0,22.0,7,6,1,1,7,6,6,5,6,6,1,6,6,6,5,6,6,6,6,7,4,1,2,7,7,4,7,1,1,6,1,1631260,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:36.363266
By Year,2023,1610612749,MIL,2023-07-15T00:00:00,3,1,2,0.333,30.966666666666665,3,8,0.375,3,7,0.429,4,4,1.0,0,2,2,0,0,2,0,0,1,3,13,-17,21.4,0,0,22.0,6,6,2,6,6,7,7,6,7,6,2,4,4,1,7,6,7,7,7,5,4,1,1,5,6,5,6,1,1,6,1,1631260,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:36.363266
By Year,2022-23,-1,TOT,2023-04-07T00:00:00,42,29,13,0.69,580.2633333333333,108,238,0.454,74,179,0.413,9,9,1.0,16,63,79,46,18,14,1,3,44,13,302,2,492.8,0,0,531.0,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1631260,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:36.363266
By Year,2022-23,1610612749,MIL,2023-04-07T00:00:00,35,27,8,0.771,344.95,53,125,0.424,44,105,0.419,4,4,1.0,6,39,45,22,9,6,0,1,31,4,154,-26,250.0,0,0,277.0,3,3,5,2,3,4,3,3,3,3,4,4,4,1,4,3,3,4,3,4,4,3,5,4,3,7,3,1,1,3,1,1631260,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:36.363266
By Year,2022-23,1612709927,WIS,2023-03-21T00:00:00,7,2,5,0.286,235.31333333333333,55,113,0.487,30,74,0.405,5,5,1.0,10,24,34,24,9,8,1,2,13,9,148,28,242.8,0,0,254.0,4,5,4,7,4,3,4,1,4,4,6,3,3,1,2,4,4,3,3,3,3,4,4,3,4,3,4,1,1,4,1,1631260,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:36.363266
By Year,2022,1610612749,MIL,2022-07-17T00:00:00,5,3,2,0.6,84.74666666666667,13,35,0.371,9,27,0.333,0,0,0.0,1,9,10,4,6,1,0,2,6,3,35,-18,50.0,0,0,60.0,5,4,2,5,5,5,5,7,5,5,7,6,6,6,5,5,5,5,5,6,4,4,3,5,5,6,5,1,1,5,1,1631260,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:36.363266
Overall,2024-25,-1,TOT,2025-04-13T00:00:00,49,20,29,0.408,1209.7233333333334,184,447,0.412,63,183,0.344,54,66,0.818,19,116,135,151,88,30,8,43,102,61,500,-126,914.5,0,0,925.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1642358,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:41.601304
Overall,2024-25,1610612764,WAS,2025-04-13T00:00:00,22,4,18,0.182,594.6366666666667,74,194,0.381,21,85,0.247,31,35,0.886,8,44,52,69,31,11,3,15,50,26,200,-165,376.9,0,0,370.0,1,2,5,4,1,1,1,4,2,1,5,1,1,2,2,2,2,1,2,2,2,4,5,1,1,5,1,1,1,1,1,1642358,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:41.601304
Overall,2024-25,1612709928,CCG,2025-03-12T00:00:00,5,3,2,0.6,149.46666666666667,29,64,0.453,13,31,0.419,8,9,0.889,2,15,17,22,11,6,1,6,18,10,82,6,145.4,0,0,148.0,4,4,1,1,3,3,3,1,3,3,2,3,4,1,4,3,3,3,4,3,4,3,3,3,3,3,3,1,1,3,1,1642358,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:41.601304
Overall,2024-25,1610612749,MIL,2025-02-03T00:00:00,7,4,3,0.571,43.75,8,19,0.421,3,5,0.6,1,2,0.5,0,7,7,7,4,1,0,3,0,1,20,13,37.9,0,0,39.0,3,2,2,3,5,5,5,3,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,5,5,2,5,1,1,5,1,1642358,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:41.601304
