gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,effectiveFieldGoalPercentage,freeThrowAttemptRate,teamTurnoverPercentage,offensiveReboundPercentage,oppEffectiveFieldGoalPercentage,oppFreeThrowAttemptRate,oppTeamTurnoverPercentage,oppOffensiveReboundPercentage,game_id,game_date,endpoint,dataframe_index,collection_timestamp
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629003.0,Shake,Milton,S. Milton,shake-milton,G,,20,43:02,0.432,0.164,0.202,0.022,0.517,0.146,0.167,0.49,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1642355.0,Bronny,James,B. James,bronny-james,G,,9,38:18,0.438,0.156,0.236,0.025,0.564,0.214,0.172,0.378,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1630692.0,Jordan,Goodwin,J. Goodwin,jordan-goodwin,,,30,30:13,0.5,0.167,0.226,0.069,0.492,0.234,0.174,0.575,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1631132.0,Christian,Koloko,C. Koloko,christian-koloko,,,10,19:29,0.5,0.121,0.226,0.15,0.443,0.2,0.189,0.364,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1641998.0,Trey,Jemison III,T. Jemison III,trey-jemison-iii,,,55,25:15,0.359,0.174,0.238,0.118,0.489,0.217,0.194,0.464,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629637.0,Jaxson,Hayes,J. Hayes,jaxson-hayes,,DNP - Coach's Decision,11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629020.0,Jarred,Vanderbilt,J. Vanderbilt,jarred-vanderbilt,,DNP - Coach's Decision,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629216.0,Gabe,Vincent,G. Vincent,gabe-vincent,,DNP - Coach's Decision,7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631200.0,Kris,Murray,K. Murray,kris-murray,F,,24,29:50,0.517,0.345,0.181,0.154,0.398,0.245,0.244,0.355,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641739.0,Toumani,Camara,T. Camara,toumani-camara,F,,33,21:37,0.49,0.32,0.152,0.056,0.264,0.278,0.276,0.346,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1642270.0,Donovan,Clingan,D. Clingan,donovan-clingan,C,,23,24:40,0.509,0.286,0.137,0.205,0.329,0.293,0.264,0.357,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1629680.0,Matisse,Thybulle,M. Thybulle,matisse-thybulle,G,,4,29:09,0.569,0.241,0.14,0.114,0.394,0.213,0.239,0.37,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1630625.0,Dalano,Banton,D. Banton,dalano-banton,G,,5,36:17,0.506,0.203,0.137,0.019,0.371,0.226,0.232,0.333,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641712.0,Rayan,Rupert,R. Rupert,rayan-rupert,,,21,27:37,0.462,0.151,0.228,0.029,0.543,0.085,0.183,0.2,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631321.0,Sidy,Cissoko,S. Cissoko,sidy-cissoko,,,25,29:01,0.537,0.111,0.183,0.067,0.551,0.082,0.19,0.211,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631303.0,Justin,Minaya,J. Minaya,justin-minaya,,,10,18:29,0.531,0.125,0.183,0.167,0.633,0.067,0.195,0.222,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631133.0,Jabari,Walker,J. Walker,jabari-walker,,,34,23:20,0.525,0.125,0.208,0.0,0.564,0.051,0.178,0.214,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1630166.0,Deni,Avdija,D. Avdija,deni-avdija,,DND - Injury/Illness,8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,203924.0,Jerami,Grant,J. Grant,jerami-grant,,DND - Injury/Illness,9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1630703.0,Scoot,Henderson,S. Henderson,scoot-henderson,,DND - Concussion Protocol,00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641871.0,Duop,Reath,D. Reath,duop-reath,,DNP - Coach's Decision,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631101.0,Shaedon,Sharpe,S. Sharpe,shaedon-sharpe,,DND - Injury/Illness,17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1629014.0,Anfernee,Simons,A. Simons,anfernee-simons,,DND - Injury/Illness,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,,,,,,,,,240:00,0.516,0.219,0.176,0.492,0.444,0.175,0.231,0.373,0022401199,2025-04-13,BoxScoreFourFactorsV3,1,2025-08-10T12:24:51.689724
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,,,,,,,,,240:00,0.444,0.175,0.231,0.373,0.516,0.219,0.176,0.492,0022401199,2025-04-13,BoxScoreFourFactorsV3,1,2025-08-10T12:24:51.689724
