gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,game_id,game_date,endpoint,dataframe_index,collection_timestamp
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1630692.0,Jordan,Goodwin,J. Goodwin,jordan-goodwin,,,30,30:13,4.28,2.32,4,6,10,49,1,0,31,4,2,6,0.333,3,8,0.375,0.357,4,5,0.8,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1631132.0,Christian,Koloko,C. Koloko,christian-koloko,,,10,19:29,4.04,1.45,6,6,12,18,0,0,12,0,1,2,0.5,1,2,0.5,0.5,3,7,0.429,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1641998.0,Trey,Jemison III,T. Jemison III,trey-jemison-iii,,,55,25:15,4.19,1.92,12,6,18,27,1,0,20,1,0,1,0.0,1,1,1.0,0.5,0,2,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629637.0,Jaxson,Hayes,J. Hayes,jaxson-hayes,,DNP - Coach's Decision,11,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629020.0,Jarred,Vanderbilt,J. Vanderbilt,jarred-vanderbilt,,DNP - Coach's Decision,2,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629216.0,Gabe,Vincent,G. Vincent,gabe-vincent,,DNP - Coach's Decision,7,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631200.0,Kris,Murray,K. Murray,kris-murray,F,,24,29:50,4.19,2.24,8,12,20,53,0,2,34,3,0,6,0.0,4,9,0.444,0.267,2,4,0.5,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641739.0,Toumani,Camara,T. Camara,toumani-camara,F,,33,21:37,4.33,1.8,5,6,10,41,0,0,32,4,1,1,1.0,4,6,0.667,0.714,1,2,0.5,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1642270.0,Donovan,Clingan,D. Clingan,donovan-clingan,C,,23,24:40,4.08,1.78,15,11,24,29,1,1,17,3,5,9,0.556,1,1,1.0,0.6,0,4,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1629680.0,Matisse,Thybulle,M. Thybulle,matisse-thybulle,G,,4,29:09,4.11,1.99,5,6,11,51,1,0,35,2,2,5,0.4,3,6,0.5,0.455,1,1,1.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1630625.0,Dalano,Banton,D. Banton,dalano-banton,G,,5,36:17,4.01,2.59,1,6,7,96,0,0,69,7,3,9,0.333,5,13,0.385,0.364,1,2,0.5,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641712.0,Rayan,Rupert,R. Rupert,rayan-rupert,,,21,27:37,4.37,2.18,3,9,12,57,0,0,42,1,3,4,0.75,2,6,0.333,0.5,1,1,1.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631321.0,Sidy,Cissoko,S. Cissoko,sidy-cissoko,,,25,29:01,3.86,2.01,3,2,5,59,2,0,49,4,1,2,0.5,2,5,0.4,0.429,2,3,0.667,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631303.0,Justin,Minaya,J. Minaya,justin-minaya,,,10,18:29,4.6,1.53,4,1,5,26,0,0,17,2,1,2,0.5,1,3,0.333,0.4,6,6,1.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631133.0,Jabari,Walker,J. Walker,jabari-walker,,,34,23:20,3.92,1.65,4,8,12,27,0,0,15,1,2,5,0.4,2,4,0.5,0.444,1,2,0.5,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1630166.0,Deni,Avdija,D. Avdija,deni-avdija,,DND - Injury/Illness,8,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,203924.0,Jerami,Grant,J. Grant,jerami-grant,,DND - Injury/Illness,9,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1630703.0,Scoot,Henderson,S. Henderson,scoot-henderson,,DND - Concussion Protocol,00,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641871.0,Duop,Reath,D. Reath,duop-reath,,DNP - Coach's Decision,26,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631101.0,Shaedon,Sharpe,S. Sharpe,shaedon-sharpe,,DND - Injury/Illness,17,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1629014.0,Anfernee,Simons,A. Simons,anfernee-simons,,DND - Injury/Illness,1,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,,,,,,,,,240:00,,17.77,48,61,106,439,4,3,310,27,18,43,0.419,24,53,0.453,0.438,15,25,0.6,0022401199,2025-04-13,BoxScorePlayerTrackV3,1,2025-08-10T12:35:02.624746
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,,,,,,,,,240:00,,17.16,36,55,86,373,4,1,254,21,12,30,0.4,19,50,0.38,0.388,24,39,0.615,0022401199,2025-04-13,BoxScorePlayerTrackV3,1,2025-08-10T12:35:02.624746
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1642419.0,Jamison,Battle,J. Battle,jamison-battle,F,,77,42:21,4.36,3.28,1,12,13,61,0,0,41,3,0,2,0.0,9,17,0.529,0.474,5,7,0.714,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630567.0,Scottie,Barnes,S. Barnes,scottie-barnes,F,,4,36:34,4.41,2.87,5,11,16,91,1,2,60,8,7,10,0.7,8,13,0.615,0.652,4,4,1.0,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1642367.0,Jonathan,Mogbo,J. Mogbo,jonathan-mogbo,C,,2,34:55,4.24,2.63,8,13,20,60,0,0,43,10,1,3,0.333,3,11,0.273,0.286,4,5,0.8,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630534.0,Ochai,Agbaji,O. Agbaji,ochai-agbaji,G,,30,37:31,4.58,3.05,3,5,8,55,0,0,36,1,1,4,0.25,5,11,0.455,0.4,2,3,0.667,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1642347.0,Jamal,Shead,J. Shead,jamal-shead,G,,23,36:13,4.04,2.6,4,4,8,84,0,1,62,9,2,5,0.4,2,7,0.286,0.333,2,2,1.0,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630658.0,Colin,Castleton,C. Castleton,colin-castleton,,,11,29:16,4.21,2.21,2,1,3,36,0,0,29,0,5,5,1.0,0,2,0.0,0.714,4,6,0.667,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630639.0,A.J.,Lawson,A. Lawson,aj-lawson,,,0,21:18,4.87,1.88,1,0,1,25,0,0,14,0,2,3,0.667,1,4,0.25,0.429,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612761,Toronto,Raptors,TOR,raptors,202066.0,Garrett,Temple,G. Temple,garrett-temple,,,17,1:52,4.34,0.15,0,0,0,2,0,0,2,1,0,0,0.0,0,0,0.0,0.0,1,1,1.0,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1629628.0,RJ,Barrett,R. Barrett,rj-barrett,,DND - Rest,9,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1628449.0,Chris,Boucher,C. Boucher,chris-boucher,,DND - Injury/Illness,25,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630193.0,Immanuel,Quickley,I. Quickley,immanuel-quickley,,DND - Rest,5,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1631197.0,Jared,Rhoden,J. Rhoden,jared-rhoden,,DND - Injury/Illness,8,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1630577.0,Julian,Champagnie,J. Champagnie,julian-champagnie,F,,30,34:45,4.24,2.64,4,7,9,37,1,0,28,1,2,3,0.667,3,6,0.5,0.556,5,7,0.714,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,203084.0,Harrison,Barnes,H. Barnes,harrison-barnes,F,,40,34:12,4.43,2.69,1,7,8,51,0,0,34,1,1,2,0.5,3,8,0.375,0.4,1,3,0.333,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,202687.0,Bismack,Biyombo,B. Biyombo,bismack-biyombo,C,,15,14:03,4.07,0.98,4,9,13,19,0,0,15,0,0,0,0.0,1,3,0.333,0.333,0,2,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:03.335610
