gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,usagePercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints,game_id,game_date,endpoint,dataframe_index,collection_timestamp
0022401191,1610612741,Chicago,Bulls,CHI,bulls,,,,,,,,,240:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0022401191,2025-04-13,BoxScoreUsageV3,1,2025-08-10T12:39:41.187268
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1642261.0,Dalton,Knecht,D. Knecht,dalton-knecht,F,,,37:22,0.278,0.409,0.328,0.625,0.5,0.4,0.286,0.167,0.261,0.229,0.0,0.118,0.0,0.2,0.5,0.056,0.267,0.435,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,202693.0,Markieff,Morris,M. Morris,markieff-morris,F,,,32:48,0.162,0.227,0.189,0.2,0.176,0.0,0.0,0.0,0.211,0.143,0.4,0.167,0.143,0.167,0.0,0.267,0.0,0.193,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,203458.0,Alex,Len,A. Len,alex-len,C,,,13:33,0.25,0.222,0.211,0.0,0.143,0.0,0.0,0.0,0.25,0.222,0.2,0.429,0.0,0.25,0.0,0.667,0.0,0.167,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629003.0,Shake,Milton,S. Milton,shake-milton,G,,,43:02,0.214,0.179,0.205,0.143,0.167,0.556,0.5,0.091,0.038,0.054,0.167,0.176,0.125,0.1,0.333,0.118,0.4,0.222,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1642355.0,Bronny,James,B. James,bronny-james,G,,,38:18,0.143,0.08,0.156,0.0,0.095,0.0,0.0,0.1,0.087,0.091,0.375,0.167,0.571,0.0,0.0,0.067,0.091,0.063,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1630692.0,Jordan,Goodwin,J. Goodwin,jordan-goodwin,,,,30:13,0.235,0.238,0.292,0.333,0.313,0.0,0.0,0.286,0.294,0.292,0.235,0.154,0.333,0.0,0.0,0.0,0.111,0.226,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1631132.0,Christian,Koloko,C. Koloko,christian-koloko,,,,19:29,0.109,0.143,0.121,0.0,0.083,0.0,0.5,0.75,0.357,0.444,0.0,0.0,0.25,0.833,0.0,0.5,0.25,0.114,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1641998.0,Trey,Jemison III,T. Jemison III,trey-jemison-iii,,,,25:15,0.125,0.071,0.043,0.0,0.0,0.2,0.25,0.364,0.267,0.308,0.1,0.417,0.0,0.167,0.25,0.364,0.286,0.079,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629637.0,Jaxson,Hayes,J. Hayes,jaxson-hayes,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629020.0,Jarred,Vanderbilt,J. Vanderbilt,jarred-vanderbilt,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629216.0,Gabe,Vincent,G. Vincent,gabe-vincent,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631200.0,Kris,Murray,K. Murray,kris-murray,F,,,29:50,0.234,0.16,0.259,0.1,0.24,0.111,0.1,0.353,0.25,0.297,0.188,0.182,0.0,0.333,0.333,0.0,0.059,0.145,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641739.0,Toumani,Camara,T. Camara,toumani-camara,F,,,21:37,0.127,0.238,0.14,0.571,0.333,0.0,0.0,0.111,0.235,0.171,0.308,0.143,0.0,0.0,0.0,0.3,0.0,0.255,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1642270.0,Donovan,Clingan,D. Clingan,donovan-clingan,C,,,24:40,0.174,0.25,0.179,0.0,0.0,0.0,0.25,0.421,0.222,0.324,0.2,0.143,0.25,0.5,0.286,0.25,0.429,0.19,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1629680.0,Matisse,Thybulle,M. Thybulle,matisse-thybulle,G,,,29:09,0.197,0.179,0.19,0.3,0.217,0.333,0.5,0.267,0.059,0.156,0.105,0.125,0.5,0.333,0.143,0.25,0.333,0.208,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
