SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,endpoint,dataframe_index,collection_timestamp
22024,1630174,0022400813,"Feb 23, 2025",IND vs. LAC,W,25,7,11,0.636,2,5,0.4,3,3,1.0,2,4,6,1,0,0,0,2,19,17,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400788,"Feb 20, 2025",IND vs. MEM,W,24,4,8,0.5,3,5,0.6,2,2,1.0,3,4,7,1,0,1,0,3,13,19,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400771,"Feb 12, 2025",IND @ WAS,W,21,3,6,0.5,2,3,0.667,0,0,0.0,0,1,1,1,1,1,1,3,8,-14,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400765,"Feb 11, 2025",IND vs. NYK,L,13,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,3,1,0,0,4,0,-9,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400742,"Feb 08, 2025",IND @ LAL,L,21,3,9,0.333,0,6,0.0,0,0,0.0,1,4,5,2,1,0,1,2,6,7,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400733,"Feb 06, 2025",IND @ LAC,W,21,0,3,0.0,0,2,0.0,4,4,1.0,0,3,3,3,0,0,0,0,4,-8,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400716,"Feb 04, 2025",IND @ POR,L,17,2,5,0.4,1,2,0.5,0,0,0.0,0,0,0,2,2,0,1,1,5,-9,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400707,"Feb 03, 2025",IND @ UTA,W,26,4,6,0.667,1,3,0.333,4,5,0.8,1,6,7,2,3,1,1,3,13,10,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400686,"Feb 01, 2025",IND vs. ATL,W,23,4,8,0.5,2,5,0.4,3,3,1.0,0,2,2,1,0,0,0,4,13,21,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400664,"Jan 29, 2025",IND vs. DET,W,32,0,4,0.0,0,2,0.0,0,0,0.0,1,2,3,2,0,1,0,2,0,20,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400633,"Jan 25, 2025",IND @ SAS,W,21,4,7,0.571,1,3,0.333,0,0,0.0,1,4,5,2,0,0,2,3,9,22,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400621,"Jan 23, 2025",IND vs. SAS,L,19,1,5,0.2,0,2,0.0,1,1,1.0,0,3,3,1,0,0,2,1,3,-18,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
